№ п/п,Наименование / ФИО,Тип субъекта,Категория,ОГРН,ИНН,Основной вид деятельности,Регион,Район,Город,Населенный пункт,Вновь созданный,Дата включения в реестр,Дата исключения из реестра,Телефон,E-mail,WWW,Наличие лицензий,"Наличие заключенных договоров, контрактов","Производство инновационной, высокотехнологичной продукции",Участие в программах партнерства,Является социальным предприятием,Среднесписочная численность работников за предшествующий календарный год
9547,АНИКИН АЛЬБЕРТ ОЛЕГОВИЧ,Индивидуальный предприниматель,Не является субъектом МСП,318547600138117,540401084409,41.20 Строительство жилых и нежилых зданий,54 - Новосибирская область,,ГОРОД НОВОСИБИРСК,,Нет,10.09.2018,10.08.2019,,,,Нет,Нет,Нет,Нет,Нет,
9548,Аникин Андрей Валентинович,Индивидуальный предприниматель,Микропредприятие,309402506200018,402502774027,41.20 Строительство жилых и нежилых зданий,40 - Калужская область,,ГОРОД ОБНИНСК,,Нет,01.08.2016,,,,,Нет,Нет,Нет,Нет,Нет,
9549,АНИКИН АНТОН ГЕННАДЬЕВИЧ,Индивидуальный предприниматель,Не является субъектом МСП,316503200056282,500603214341,41.20 Строительство жилых и нежилых зданий,50 - Московская область,,ГОРОД КРАСНОЗНАМЕНСК,,Нет,01.08.2016,10.08.2017,,,,Нет,Нет,Нет,Нет,Нет,
9550,АНИКИН АРТЁМ АЛЕКСАНДРОВИЧ,Индивидуальный предприниматель,Микропредприятие,322332800029079,332807507914,41.20 Строительство жилых и нежилых зданий,33 - Владимирская область,,г Владимир,,Нет,10.07.2022,,,,,Нет,Нет,Нет,Нет,Нет,
9551,АНИКИН ВАДИМ АЛЕКСАНДРОВИЧ,Индивидуальный предприниматель,Микропредприятие,323344300052001,345302210977,41.20 Строительство жилых и нежилых зданий,34 - Волгоградская область,Руднянский р-н,,с Осички,Да,10.06.2023,,,,,Нет,Нет,Нет,Нет,Нет,
9552,АНИКИН ВАДИМ СЕРГЕЕВИЧ,Индивидуальный предприниматель,Микропредприятие,315784700085629,781135780004,41.20 Строительство жилых и нежилых зданий,78 - г.Санкт-Петербург,,,,Нет,01.08.2016,,,,,Нет,Нет,Нет,Нет,Нет,
9553,АНИКИН ВИТАЛИЙ АЛЕКСАНДРОВИЧ,Индивидуальный предприниматель,Не является субъектом МСП,323583500040375,583200078692,41.20 Строительство жилых и нежилых зданий,58 - Пензенская область,Пензенский р-н,,с Засечное,Нет,10.08.2023,10.10.2023,,,,Нет,Нет,Нет,Нет,Нет,
9554,АНИКИН ВЛАДИСЛАВ АНАТОЛЬЕВИЧ,Индивидуальный предприниматель,Не является субъектом МСП,318645100045342,644902233059,41.20 Строительство жилых и нежилых зданий,64 - Саратовская область,,Город Саратов,,Нет,10.07.2018,10.01.2022,,,,Нет,Нет,Нет,Нет,Нет,
9555,АНИКИН ВЛАДИСЛАВ АНАТОЛЬЕВИЧ,Индивидуальный предприниматель,Микропредприятие,322645700084912,644902233059,41.20 Строительство жилых и нежилых зданий,64 - Саратовская область,,г Энгельс,,Нет,10.11.2022,,,,,Нет,Нет,Нет,Нет,Нет,
9556,АНИКИН ВЛАДИСЛАВ ВАЛЕРЬЕВИЧ,Индивидуальный предприниматель,Микропредприятие,319028000075916,27413354399,41.20 Строительство жилых и нежилых зданий,02 - Республика Башкортостан,,ГОРОД УФА,,Нет,10.05.2019,,,,,Нет,Нет,Нет,Нет,Нет,
9557,АНИКИН ДЕНИС АЛЕКСАНДРОВИЧ,Индивидуальный предприниматель,Микропредприятие,324645700007980,643202016321,41.20 Строительство жилых и нежилых зданий,64 - Саратовская область,,г Саратов,рп Соколовый,Да,10.02.2024,,,,,Нет,Нет,Нет,Нет,Нет,
9558,АНИКИН ДЕНИС АЛЕКСАНДРОВИЧ,Индивидуальный предприниматель,Микропредприятие,315784700085771,781127426987,41.20 Строительство жилых и нежилых зданий,78 - г.Санкт-Петербург,,,,Нет,01.08.2016,,,,,Нет,Нет,Нет,Нет,Нет,
9559,АНИКИН ДЕНИС ЛЕОНИДОВИЧ,Индивидуальный предприниматель,Микропредприятие,319861700054780,861710465757,41.20 Строительство жилых и нежилых зданий,86 - Ханты-Мансийский автономный округ - Югра,СУРГУТСКИЙ РАЙОН,,ПОСЕЛОК ГОРОДСКОГО ТИПА БЕЛЫЙ ЯР,Нет,10.07.2021,,,,,Нет,Нет,Нет,Нет,Нет,
9560,АНИКИН ДМИТРИЙ ВАКИЛОВИЧ,Индивидуальный предприниматель,Микропредприятие,314715410400258,712802248573,41.20 Строительство жилых и нежилых зданий,71 - Тульская область,КИРЕЕВСКИЙ РАЙОН,,ПОСЕЛОК ОКТЯБРЬСКИЙ,Нет,10.07.2021,,+7(920)7950116,anikin79@gmail.com,,Нет,Нет,Нет,Нет,Нет,
9561,АНИКИН ЕВГЕНИЙ ВАСИЛЬЕВИЧ,Индивидуальный предприниматель,Микропредприятие,318190100016081,190104577515,41.20 Строительство жилых и нежилых зданий,19 - Республика Хакасия,,ГОРОД АБАКАН,,Нет,10.10.2018,,,,,Нет,Нет,Нет,Нет,Нет,
9562,АНИКИН ИВАН ЕВГЕНЬЕВИЧ,Индивидуальный предприниматель,Не является субъектом МСП,323180000009047,182401721007,41.20 Строительство жилых и нежилых зданий,18 - Удмуртская Республика,Якшур-Бодьинский р-н,,д Якшур,Нет,10.08.2023,10.12.2023,,,,Нет,Нет,Нет,Нет,Нет,
9563,АНИКИН МАКСИМ ЮРЬЕВИЧ,Индивидуальный предприниматель,Не является субъектом МСП,319665800068940,667017412539,41.20 Строительство жилых и нежилых зданий,66 - Свердловская область,,ГОРОД ЕКАТЕРИНБУРГ,,Нет,10.05.2019,10.08.2020,,,,Нет,Нет,Нет,Нет,Нет,
9564,АНИКИН НИКОЛАЙ АЛЕКСАНДРОВИЧ,Индивидуальный предприниматель,Не является субъектом МСП,320265100033505,263407795409,41.20 Строительство жилых и нежилых зданий,26 - Ставропольский край,Шпаковский Район,,Село Надежда,Нет,10.07.2022,10.07.2023,,,,Нет,Нет,Нет,Нет,Нет,
9565,АНИКИН НИКОЛАЙ НИКОЛАЕВИЧ,Индивидуальный предприниматель,Не является субъектом МСП,318332800031275,890407318220,41.20 Строительство жилых и нежилых зданий,33 - Владимирская область,,ГОРОД ВЛАДИМИР,,Нет,10.06.2018,10.08.2019,,,,Нет,Нет,Нет,Нет,Нет,
9566,АНИКИН НИКОЛАЙ СЕРГЕЕВИЧ,Индивидуальный предприниматель,Микропредприятие,322784700205251,511006344137,41.10 Разработка строительных проектов,78 - г.Санкт-Петербург,,г Ломоносов,,Нет,10.08.2022,,,,,Нет,Нет,Нет,Нет,Нет,
9567,АНИКИН ОЛЕГ ВАДИМОВИЧ,Индивидуальный предприниматель,Не является субъектом МСП,318619600138832,614304388868,41.20 Строительство жилых и нежилых зданий,61 - Ростовская область,,ГОРОД ВОЛГОДОНСК,,Нет,10.07.2021,10.07.2022,,,,Нет,Нет,Нет,Нет,Нет,
9568,АНИКИН ПАВЕЛ НИКОЛАЕВИЧ,Индивидуальный предприниматель,Не является субъектом МСП,317028000089312,22102193781,41.20 Строительство жилых и нежилых зданий,02 - Республика Башкортостан,ЕРМЕКЕЕВСКИЙ РАЙОН,,СЕЛО СПАРТАК,Нет,10.07.2017,10.08.2018,,,,Нет,Нет,Нет,Нет,Нет,
9569,АНИКИН ПЕТР СЕРГЕЕВИЧ,Индивидуальный предприниматель,Не является субъектом МСП,317222500019025,221002457096,41.10 Разработка строительных проектов,22 - Алтайский край,,ГОРОД СЛАВГОРОД,,Нет,10.04.2017,10.01.2018,,,,Нет,Нет,Нет,Нет,Нет,
9570,АНИКИН РУСЛАН ЕГОРОВИЧ,Индивидуальный предприниматель,Не является субъектом МСП,318595800049391,595151999560,41.20 Строительство жилых и нежилых зданий,59 - Пермский край,ОРДИНСКИЙ РАЙОН,,СЕЛО МЕДЯНКА,Нет,10.05.2018,10.08.2019,,,,Нет,Нет,Нет,Нет,Нет,
9571,АНИКИН СЕРГЕЙ АЛЕКСАНДРОВИЧ,Индивидуальный предприниматель,Микропредприятие,321132600012457,131501751925,41.20 Строительство жилых и нежилых зданий,13 - Республика Мордовия,,г Саранск,,Нет,10.05.2021,,,,,Нет,Нет,Нет,Нет,Нет,
9572,АНИКИН СЕРГЕЙ ЮРЬЕВИЧ,Индивидуальный предприниматель,Микропредприятие,323700000022968,700801378770,41.20 Строительство жилых и нежилых зданий,70 - Томская область,Кожевниковский р-н,,с Кожевниково,Да,10.07.2023,,,,,Нет,Нет,Нет,Нет,Нет,
9573,АНИКИН ЮРИЙ ГЕННАДЬЕВИЧ,Индивидуальный предприниматель,Микропредприятие,323665800237359,665404525303,41.20 Строительство жилых и нежилых зданий,66 - Свердловская область,Талицкий р-н,г Талица,,Да,10.12.2023,,,,,Нет,Нет,Нет,Нет,Нет,
9574,АНИКИНА АННА АЛЕКСАНДРОВНА,Индивидуальный предприниматель,Микропредприятие,322272400002498,271102056237,41.20 Строительство жилых и нежилых зданий,27 - Хабаровский край,Вяземский р-н,г Вяземский,,Нет,10.02.2022,,,,,Нет,Нет,Нет,Нет,Нет,
9575,АНИКИНА ДАРЬЯ МИХАЙЛОВНА,Индивидуальный предприниматель,Микропредприятие,323774600790832,640700040508,41.10 Разработка строительных проектов,77 - г.Москва,,,,Да,10.12.2023,,,,,Нет,Нет,Нет,Нет,Нет,
9576,АНИКИНА ЕВГЕНИЯ ПАВЛОВНА,Индивидуальный предприниматель,Не является субъектом МСП,323784700257430,780603858906,41.20 Строительство жилых и нежилых зданий,78 - г.Санкт-Петербург,,,,Нет,10.09.2023,10.03.2024,,,,Нет,Нет,Нет,Нет,Нет,
9577,АНИКИНА ЕЛЕНА ПАВЛОВНА,Индивидуальный предприниматель,Микропредприятие,323784700334259,781607922336,41.20 Строительство жилых и нежилых зданий,78 - г.Санкт-Петербург,,,,Да,10.11.2023,,,,,Нет,Нет,Нет,Нет,Нет,
9578,АНИКИНА ЛЮБОВЬ СЕРГЕЕВНА,Индивидуальный предприниматель,Не является субъектом МСП,318665800248933,665913041459,41.20 Строительство жилых и нежилых зданий,66 - Свердловская область,,ГОРОД ЕКАТЕРИНБУРГ,,Нет,10.12.2018,10.08.2019,,,,Нет,Нет,Нет,Нет,Нет,
9579,АНИКИНА ЛЮДМИЛА НИКОЛАЕВНА,Индивидуальный предприниматель,Микропредприятие,320645100062615,645394336982,41.20 Строительство жилых и нежилых зданий,64 - Саратовская область,,Город Саратов,,Нет,10.10.2020,,,,,Нет,Нет,Нет,Нет,Нет,
9580,АНИКИНА МАЙЯ АНДРЕЕВНА,Индивидуальный предприниматель,Микропредприятие,323580000002784,583803808998,41.20 Строительство жилых и нежилых зданий,58 - Пензенская область,,г Заречный,,Да,10.12.2023,,,,,Нет,Нет,Нет,Нет,Нет,
9581,АНИКИНА ОЛЬГА ТИМОФЕЕВНА,Индивидуальный предприниматель,Микропредприятие,323547600194650,542405341717,41.20 Строительство жилых и нежилых зданий,54 - Новосибирская область,Колыванский р-н,,д Большой Оеш,Да,10.12.2023,,,,,Нет,Нет,Нет,Нет,Нет,
9582,АНИКИНА СТАНИСЛАВА ОЛЕГОВНА,Индивидуальный предприниматель,Микропредприятие,319665800117128,665899763971,41.20 Строительство жилых и нежилых зданий,66 - Свердловская область,,ГОРОД ЕКАТЕРИНБУРГ,,Нет,10.09.2021,,,,,Нет,Нет,Нет,Нет,Нет,
9583,АНИКИНА ЮЛИЯ АЛЕКСАНДРОВНА,Индивидуальный предприниматель,Микропредприятие,323344300116251,344404861704,41.20 Строительство жилых и нежилых зданий,34 - Волгоградская область,Среднеахтубинский р-н,,рп Средняя Ахтуба,Да,10.12.2023,,,,,Нет,Нет,Нет,Нет,Нет,
9584,АНИКИЧЕВ МИХАИЛ ИВАНОВИЧ,Индивидуальный предприниматель,Не является субъектом МСП,318595800036562,595787369638,41.20 Строительство жилых и нежилых зданий,78 - г.Санкт-Петербург,,,,Нет,10.04.2018,10.08.2019,,,,Нет,Нет,Нет,Нет,Нет,
9585,АНИКИЧЕВА ЕЛЕНА ЮРЬЕВНА,Индивидуальный предприниматель,Не является субъектом МСП,311591420000023,595788145870,41.2 Строительство жилых и нежилых зданий,78 - г.Санкт-Петербург,,,,Нет,01.08.2016,10.01.2022,,,,Нет,Нет,Нет,Нет,Нет,
9586,АНИКУТИН МИХАИЛ МИХАЙЛОВИЧ,Индивидуальный предприниматель,Микропредприятие,321574900037745,575107328313,41.20 Строительство жилых и нежилых зданий,57 - Орловская область,,г Орёл,,Нет,10.01.2022,,,,,Нет,Нет,Нет,Нет,Нет,
9587,АНИКУШИН АНТОН АНДРЕЕВИЧ,Индивидуальный предприниматель,Не является субъектом МСП,316762700113191,760907669496,41.20 Строительство жилых и нежилых зданий,76 - Ярославская область,РОСТОВСКИЙ РАЙОН,ГОРОД РОСТОВ,,Нет,10.11.2016,10.01.2022,,,,Нет,Нет,Нет,Нет,Нет,
9588,АНИН МИХАИЛ ЮРЬЕВИЧ,Индивидуальный предприниматель,Микропредприятие,321784700064783,780726081320,41.20 Строительство жилых и нежилых зданий,78 - г.Санкт-Петербург,,,,Нет,10.04.2021,,,,,Нет,Нет,Нет,Нет,Нет,
9589,АНИНЯН АРМЕН ГЕНРИХОВИЧ,Индивидуальный предприниматель,Микропредприятие,321237500049874,262514163434,41.20 Строительство жилых и нежилых зданий,23 - Краснодарский край,,г Краснодар,,Нет,10.03.2021,,,,,Нет,Нет,Нет,Нет,Нет,
9590,АНИНЯН МАРИНЕ МЕХАКОВНА,Индивидуальный предприниматель,Микропредприятие,322237500361596,230911400640,41.20 Строительство жилых и нежилых зданий,23 - Краснодарский край,Динской р-н,,ст-ца Новотитаровская,Нет,10.11.2022,,,,,Нет,Нет,Нет,Нет,Нет,
9591,АНИПЧЕНКО АЛЕКСАНДР ВИКТОРОВИЧ,Индивидуальный предприниматель,Микропредприятие,320265100065994,263112194307,41.20 Строительство жилых и нежилых зданий,26 - Ставропольский край,,ГОРОД НЕВИННОМЫССК,,Нет,10.08.2020,,,,,Нет,Нет,Нет,Нет,Нет,
9592,АНИСЕНКО ИВАН АЛЕКСАНДРОВИЧ,Индивидуальный предприниматель,Не является субъектом МСП,318332800013031,332709304810,41.20 Строительство жилых и нежилых зданий,33 - Владимирская область,Суздальский Район,,Село Новое,Нет,10.04.2018,10.07.2023,,,,Нет,Нет,Нет,Нет,Нет,
9593,АНИСИМКОВ ДМИТРИЙ ВЛАДИМИРОВИЧ,Индивидуальный предприниматель,Микропредприятие,317665800108402,661401295894,41.20 Строительство жилых и нежилых зданий,66 - Свердловская область,,ГОРОД ВОЛЧАНСК,,Нет,10.07.2017,,,,,Нет,Нет,Нет,Нет,Нет,
9594,АНИСИМКОВ МАКСИМ ВЛАДИМИРОВИЧ,Индивидуальный предприниматель,Не является субъектом МСП,317665800123448,661000798851,41.20 Строительство жилых и нежилых зданий,66 - Свердловская область,,ГОРОД ИВДЕЛЬ,ПОСЕЛОК МАСЛОВО,Нет,10.08.2017,10.08.2019,,,,Нет,Нет,Нет,Нет,Нет,
9595,АНИСИМОВ АЛЕКСАНДР АНАТОЛЬЕВИЧ,Индивидуальный предприниматель,Не является субъектом МСП,322732500017299,730997275938,41.20 Строительство жилых и нежилых зданий,73 - Ульяновская область,Вешкаймский р-н,,с Вешкайма,Нет,10.04.2022,10.10.2022,,,,Нет,Нет,Нет,Нет,Нет,
9596,АНИСИМОВ АЛЕКСАНДР ВЛАДИМИРОВИЧ,Индивидуальный предприниматель,Микропредприятие,322784700131942,782608455608,41.20 Строительство жилых и нежилых зданий,78 - г.Санкт-Петербург,,,,Нет,10.05.2022,,,,,Нет,Нет,Нет,Нет,Нет,
9597,АНИСИМОВ АЛЕКСАНДР ИГОРЕВИЧ,Индивидуальный предприниматель,Не является субъектом МСП,318028000076042,27311724717,41.20 Строительство жилых и нежилых зданий,02 - Республика Башкортостан,УФИМСКИЙ РАЙОН,,СЕЛО ЧЕСНОКОВКА,Нет,10.06.2018,10.08.2019,,,,Нет,Нет,Нет,Нет,Нет,
9598,АНИСИМОВ АЛЕКСАНДР НИКОЛАЕВИЧ,Индивидуальный предприниматель,Не является субъектом МСП,318450100020910,450200653070,41.20 Строительство жилых и нежилых зданий,45 - Курганская область,,ГОРОД ШАДРИНСК,,Нет,10.08.2018,10.12.2018,,,,Нет,Нет,Нет,Нет,Нет,
9599,АНИСИМОВ АЛЕКСАНДР НИКОНОВИЧ,Индивидуальный предприниматель,Не является субъектом МСП,316183200089153,181301700900,41.20 Строительство жилых и нежилых зданий,18 - Удмуртская Республика,КИЗНЕРСКИЙ РАЙОН,,СЕЛО КИЗНЕР,Нет,01.08.2016,10.02.2017,,,,Нет,Нет,Нет,Нет,Нет,
9600,АНИСИМОВ АЛЕКСАНДР СЕРГЕЕВИЧ,Индивидуальный предприниматель,Не является субъектом МСП,320385000065390,380891295981,41.20 Строительство жилых и нежилых зданий,38 - Иркутская область,,ГОРОД ИРКУТСК,,Нет,10.10.2020,10.09.2022,,,,Нет,Нет,Нет,Нет,Нет,
9601,АНИСИМОВ АЛЕКСЕЙ АЛЕКСАНДРОВИЧ,Индивидуальный предприниматель,Микропредприятие,323420500072120,421105285542,41.20 Строительство жилых и нежилых зданий,42 - Кемеровская область,,г Киселевск,,Да,10.09.2023,,,,,Нет,Нет,Нет,Нет,Нет,
9602,АНИСИМОВ АЛЕКСЕЙ ВАСИЛЬЕВИЧ,Индивидуальный предприниматель,Не является субъектом МСП,318366800077690,366516934040,41.20 Строительство жилых и нежилых зданий,36 - Воронежская область,,ГОРОД ВОРОНЕЖ,,Нет,10.09.2018,10.05.2021,,,,Нет,Нет,Нет,Нет,Нет,
9603,АНИСИМОВ АЛЕКСЕЙ ВЛАДИМИРОВИЧ,Индивидуальный предприниматель,Не является субъектом МСП,319183200006256,183510234950,41.20 Строительство жилых и нежилых зданий,18 - Удмуртская Республика,КАМБАРСКИЙ РАЙОН,,СЕЛО КАМА,Нет,10.02.2019,10.04.2020,,,,Нет,Нет,Нет,Нет,Нет,
9604,АНИСИМОВ АЛЕКСЕЙ ИВАНОВИЧ,Индивидуальный предприниматель,Не является субъектом МСП,321272400014714,271306900089,41.10 Разработка строительных проектов,27 - Хабаровский край,Имени Лазо р-н,,п Обор,Нет,10.04.2021,10.08.2021,,,,Нет,Нет,Нет,Нет,Нет,
9605,АНИСИМОВ АЛЕКСЕЙ ИГОРЕВИЧ,Индивидуальный предприниматель,Микропредприятие,310619314100074,616613952524,41.20 Строительство жилых и нежилых зданий,61 - Ростовская область,,Город Ростов-на-Дону,,Нет,01.08.2016,,,,,Нет,Нет,Нет,Нет,Нет,
9606,АНИСИМОВ АЛЕКСЕЙ НИКОЛАЕВИЧ,Индивидуальный предприниматель,Не является субъектом МСП,320703100019673,700902114245,41.20 Строительство жилых и нежилых зданий,70 - Томская область,КРИВОШЕИНСКИЙ РАЙОН,,СЕЛО КРИВОШЕИНО,Нет,10.07.2020,10.07.2021,,,,Нет,Нет,Нет,Нет,Нет,
9607,АНИСИМОВ АЛЕКСЕЙ НИКОЛАЕВИЧ,Индивидуальный предприниматель,Микропредприятие,321574900007652,572005538965,41.20 Строительство жилых и нежилых зданий,57 - Орловская область,Орловский р-н,,с Троицкое,Нет,10.04.2021,,,,,Нет,Нет,Нет,Нет,Нет,
9608,АНИСИМОВ АЛЕКСЕЙ ПАВЛОВИЧ,Индивидуальный предприниматель,Не является субъектом МСП,322352500031740,352826942961,41.20 Строительство жилых и нежилых зданий,35 - Вологодская область,,г Череповец,,Нет,10.09.2022,10.01.2023,,,,Нет,Нет,Нет,Нет,Нет,
9609,АНИСИМОВ АЛЕКСЕЙ СТАНИСЛАВОВИЧ,Индивидуальный предприниматель,Не является субъектом МСП,319890100009795,891300463177,41.10 Разработка строительных проектов,89 - Ямало-Ненецкий автономный округ,,ГОРОД ГУБКИНСКИЙ,,Нет,10.05.2019,10.08.2020,,,,Нет,Нет,Нет,Нет,Нет,
9610,АНИСИМОВ АНАТОЛИЙ АЛЕКСАНДРОВИЧ,Индивидуальный предприниматель,Не является субъектом МСП,316366800055692,366521209351,41.20 Строительство жилых и нежилых зданий,36 - Воронежская область,,ГОРОД ВОРОНЕЖ,,Нет,01.08.2016,10.07.2017,,,,Нет,Нет,Нет,Нет,Нет,
9611,АНИСИМОВ АНАТОЛИЙ НИКОЛАЕВИЧ,Индивидуальный предприниматель,Не является субъектом МСП,319745600184422,744303594676,41.20 Строительство жилых и нежилых зданий,74 - Челябинская область,ВАРНЕНСКИЙ РАЙОН,,ПОСЕЛОК НОВОПОКРОВКА,Нет,10.12.2019,10.07.2020,,,,Нет,Нет,Нет,Нет,Нет,
9612,АНИСИМОВ АНДРЕЙ ВЛАДИМИРОВИЧ,Индивидуальный предприниматель,Не является субъектом МСП,318470400017424,860217064874,41.20 Строительство жилых и нежилых зданий,47 - Ленинградская область,ТОСНЕНСКИЙ РАЙОН,,ГОРОДСКОЙ ПОСЕЛОК ФОРНОСОВО,Нет,10.04.2018,10.02.2020,,,,Нет,Нет,Нет,Нет,Нет,
9613,АНИСИМОВ АНДРЕЙ ЮРЬЕВИЧ,Индивидуальный предприниматель,Не является субъектом МСП,321784700185564,470313857751,41.20 Строительство жилых и нежилых зданий,78 - г.Санкт-Петербург,,,,Нет,10.07.2021,10.01.2023,,,,Нет,Нет,Нет,Нет,Нет,
9614,АНИСИМОВ АРТЁМ АЛЕКСЕЕВИЧ,Индивидуальный предприниматель,Не является субъектом МСП,316774600375361,771617262636,41.10 Разработка строительных проектов,77 - г.Москва,,,,Нет,10.09.2016,10.11.2016,,,,Нет,Нет,Нет,Нет,Нет,
9615,АНИСИМОВ АРТЕМ АНАТОЛЬЕВИЧ,Индивидуальный предприниматель,Микропредприятие,318507400023662,503621590584,41.20 Строительство жилых и нежилых зданий,50 - Московская область,,ГОРОД ПОДОЛЬСК,,Нет,10.09.2023,,,,,Нет,Нет,Нет,Нет,Нет,
9616,АНИСИМОВ АРТУР АНДРЕЕВИЧ,Индивидуальный предприниматель,Микропредприятие,324169000019410,164705601425,41.20 Строительство жилых и нежилых зданий,16 - Республика Татарстан (Татарстан),Заинский р-н,г Заинск,,Да,10.02.2024,,,,,Нет,Нет,Нет,Нет,Нет,
9617,АНИСИМОВ ВАДИМ СЕРГЕЕВИЧ,Индивидуальный предприниматель,Не является субъектом МСП,317370200014433,371121035355,41.20 Строительство жилых и нежилых зданий,37 - Ивановская область,ИВАНОВСКИЙ РАЙОН,,СЕЛО НОВО-ТАЛИЦЫ,Нет,10.05.2017,10.01.2018,,,,Нет,Нет,Нет,Нет,Нет,
9618,АНИСИМОВ ВАДИМ СЕРГЕЕВИЧ,Индивидуальный предприниматель,Не является субъектом МСП,322470400118426,470327114851,41.20 Строительство жилых и нежилых зданий,47 - Ленинградская область,Всеволожский р-н,г Всеволожск,,Нет,10.01.2023,10.02.2023,,,,Нет,Нет,Нет,Нет,Нет,
9619,АНИСИМОВ ВАСИЛИЙ АЛЕКСАНДРОВИЧ,Индивидуальный предприниматель,Микропредприятие,319784700309534,26703105628,41.20 Строительство жилых и нежилых зданий,78 - г.Санкт-Петербург,,,,Нет,10.10.2019,,,,,Нет,Нет,Нет,Нет,Нет,
9620,АНИСИМОВ ВИКТОР АНАТОЛЬЕВИЧ,Индивидуальный предприниматель,Не является субъектом МСП,304434513900184,434701074336,41.20 Строительство жилых и нежилых зданий,43 - Кировская область,,Город Киров,,Нет,01.08.2016,10.06.2019,,,,Нет,Нет,Нет,Нет,Нет,
9621,АНИСИМОВ ВИКТОР ИВАНОВИЧ,Индивидуальный предприниматель,Не является субъектом МСП,319619600039654,151001058063,41.20 Строительство жилых и нежилых зданий,61 - Ростовская область,,ГОРОД РОСТОВ-НА-ДОНУ,,Нет,10.03.2019,10.06.2023,,,,Нет,Нет,Нет,Нет,Нет,
9622,АНИСИМОВ ВИТАЛИЙ АНАТОЛЬЕВИЧ,Индивидуальный предприниматель,Не является субъектом МСП,314312616700030,312601985544,41.20 Строительство жилых и нежилых зданий,31 - Белгородская область,ВАЛУЙСКИЙ РАЙОН,ГОРОД ВАЛУЙКИ,,Нет,01.08.2016,10.08.2017,,,,Нет,Нет,Нет,Нет,Нет,
9623,АНИСИМОВ ВИТАЛИЙ АНДРЕЕВИЧ,Индивидуальный предприниматель,Не является субъектом МСП,321784700121842,132102087126,41.20 Строительство жилых и нежилых зданий,78 - г.Санкт-Петербург,,,п Шушары,Нет,10.05.2021,10.04.2024,,,,Нет,Нет,Нет,Нет,Нет,
9624,АНИСИМОВ ВЛАДИМИР АЛЕКСАНДРОВИЧ,Индивидуальный предприниматель,Не является субъектом МСП,318352500009603,352535884948,41.20 Строительство жилых и нежилых зданий,35 - Вологодская область,,ГОРОД ВОЛОГДА,,Нет,10.03.2018,10.07.2018,,,,Нет,Нет,Нет,Нет,Нет,
9625,АНИСИМОВ ВЛАДИМИР АЛЕКСЕЕВИЧ,Индивидуальный предприниматель,Не является субъектом МСП,322237500289858,231121335047,41.20 Строительство жилых и нежилых зданий,23 - Краснодарский край,,г Краснодар,,Нет,10.09.2022,10.03.2023,,,,Нет,Нет,Нет,Нет,Нет,
9626,АНИСИМОВ ВЛАДИМИР НИКОЛАЕВИЧ,Индивидуальный предприниматель,Микропредприятие,317623400029501,622802192282,41.20 Строительство жилых и нежилых зданий,62 - Рязанская область,,ГОРОД РЯЗАНЬ,,Нет,10.04.2022,,,,,Нет,Нет,Нет,Нет,Нет,
9627,АНИСИМОВ ВЯЧЕСЛАВ ЮРЬЕВИЧ,Индивидуальный предприниматель,Не является субъектом МСП,317645100086829,645203418919,41.20 Строительство жилых и нежилых зданий,64 - Саратовская область,,ГОРОД САРАТОВ,,Нет,10.12.2017,10.05.2019,,,,Нет,Нет,Нет,Нет,Нет,
9628,АНИСИМОВ ГЕОРГИЙ СТЕПАНОВИЧ,Индивидуальный предприниматель,Не является субъектом МСП,322140000016847,140901898980,41.20 Строительство жилых и нежилых зданий,14 - Республика Саха (Якутия),Верхоянский у,,пгт Батагай,Нет,10.04.2022,10.05.2023,,,,Нет,Нет,Нет,Нет,Нет,
9629,АНИСИМОВ ГРИГОРИЙ НИКОЛАЕВИЧ,Индивидуальный предприниматель,Микропредприятие,324430000006732,432402599853,41.20 Строительство жилых и нежилых зданий,43 - Кировская область,Оричевский р-н,,п Колос,Да,10.03.2024,,,,,Нет,Нет,Нет,Нет,Нет,
9630,АНИСИМОВ ДЕНИС АЛЕКСЕЕВИЧ,Индивидуальный предприниматель,Микропредприятие,322745600021315,741602266646,41.20 Строительство жилых и нежилых зданий,74 - Челябинская область,Пластовский р-н,г Пласт,,Нет,10.03.2022,,,,,Нет,Нет,Нет,Нет,Нет,
9631,АНИСИМОВ ДЕНИС РОМАНОВИЧ,Индивидуальный предприниматель,Не является субъектом МСП,323253600075803,251008617500,41.20 Строительство жилых и нежилых зданий,25 - Приморский край,,г Спасск-Дальний,,Нет,10.10.2023,10.12.2023,,,,Нет,Нет,Нет,Нет,Нет,
9632,АНИСИМОВ ДМИТРИЙ АЛЕКСАНДРОВИЧ,Индивидуальный предприниматель,Не является субъектом МСП,321332800057415,330900211273,41.20 Строительство жилых и нежилых зданий,33 - Владимирская область,Собинский р-н,г Лакинск,,Нет,10.12.2021,10.07.2022,,,,Нет,Нет,Нет,Нет,Нет,
9633,АНИСИМОВ ДМИТРИЙ АЛЕКСАНДРОВИЧ,Индивидуальный предприниматель,Микропредприятие,319169000126384,165049257180,41.20 Строительство жилых и нежилых зданий,16 - Республика Татарстан (Татарстан),Елабужский Район,,Село Мальцево,Нет,10.08.2019,,,,,Нет,Нет,Нет,Нет,Нет,
